#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0483512
firstFrontCount	1
frontCount	50
avgEvalTime	0.000446584
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
1.5708	1.5708	1.5708	1.5708	0	0	
1.72803	0.853835	1.72803	0.853835	0	0	
0.903078	0.251446	0.903078	0.251446	0	0	
1.12768	2.13768	1.12768	2.13768	0	0	
2.70466	2.62091	2.70466	2.62091	0	0	
0.928564	2.56421	0.928564	2.56421	0	0	
2.11526	0.174997	2.11526	0.174997	0	0	
2.37111	0.0648887	2.37111	0.0648887	0	0	
1.93481	1.81786	1.93481	1.81786	0	0	
0.921895	0.217712	0.921895	0.217712	0	0	
1.15267	1.06455	1.15267	1.06455	0	0	
0.909176	1.5201	0.909176	1.5201	0	0	
0.305163	2.82102	0.305163	2.82102	0	0	
1.12631	2.20416	1.12631	2.20416	0	0	
1.44181	1.22321	1.44181	1.22321	0	0	
2.51417	1.74678	2.51417	1.74678	0	0	
1.8816	2.43235	1.8816	2.43235	0	0	
1.11061	3.02514	1.11061	3.02514	0	0	
1.6841	0.406359	1.6841	0.406359	0	0	
0.643694	0.610382	0.643694	0.610382	0	0	
2.53685	2.97223	2.53685	2.97223	0	0	
0.736809	1.62509	0.736809	1.62509	0	0	
1.94568	0.495058	1.94568	0.495058	0	0	
1.68893	2.8077	1.68893	2.8077	0	0	
1.4784	1.37918	1.4784	1.37918	0	0	
2.50663	2.15048	2.50663	2.15048	0	0	
2.05667	1.6624	2.05667	1.6624	0	0	
0.262961	2.05197	0.262961	2.05197	0	0	
1.02947	1.02912	1.02947	1.02912	0	0	
0.647758	2.69101	0.647758	2.69101	0	0	
0.481354	1.21382	0.481354	1.21382	0	0	
2.47887	1.65031	2.47887	1.65031	0	0	
3.1188	2.81767	3.1188	2.81767	0	0	
2.08896	0.193317	2.08896	0.193317	0	0	
2.64348	1.97371	2.64348	1.97371	0	0	
0.0668099	0.969752	0.0668099	0.969752	0	0	
2.776	2.48154	2.776	2.48154	0	0	
1.43782	2.56692	1.43782	2.56692	0	0	
1.0819	1.85758	1.0819	1.85758	0	0	
1.96497	2.2828	1.96497	2.2828	0	0	
3.11168	0.391395	3.11168	0.391395	0	0	
1.0968	3.13827	1.0968	3.13827	0	0	
2.9609	0.814432	2.9609	0.814432	0	0	
2.06808	1.75373	2.06808	1.75373	0	0	
1.586	1.8282	1.586	1.8282	0	0	
2.93242	1.3663	2.93242	1.3663	0	0	
1.63599	1.21719	1.63599	1.21719	0	0	
0.896807	1.69249	0.896807	1.69249	0	0	
1.38734	0.630057	1.38734	0.630057	0	0	
0.800066	2.68928	0.800066	2.68928	0	0	



#Generation 2 / 100
currentGen	2
evaluateCount	100
totalTime	0.635075
firstFrontCount	1
frontCount	50
avgEvalTime	2.4154e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.78945	0.993336	0.78945	0.993336	0	0	
1.19054	0.681321	1.19054	0.681321	0	0	
0.481354	1.21382	0.481354	1.21382	0	0	
0.921895	0.217712	0.921895	0.217712	0	0	
0.344882	1.20507	0.344882	1.20507	0	0	
1.02947	1.02912	1.02947	1.02912	0	0	
0.568323	0.743275	0.568323	0.743275	0	0	
0.903078	0.251446	0.903078	0.251446	0	0	
0.0668099	0.969752	0.0668099	0.969752	0	0	
1.27455	0.412382	1.27455	0.412382	0	0	
0.206895	1.23061	0.206895	1.23061	0	0	
0.555922	1.28595	0.555922	1.28595	0	0	
1.2531	0.245728	1.2531	0.245728	0	0	
0.41562	0.85518	0.41562	0.85518	0	0	
1.15267	1.06455	1.15267	1.06455	0	0	
0.0771689	1.28145	0.0771689	1.28145	0	0	
1.1016	1.15735	1.1016	1.15735	0	0	
0.643694	0.610382	0.643694	0.610382	0	0	
1.38734	0.630057	1.38734	0.630057	0	0	
1.14458	1.16	1.14458	1.16	0	0	
1.28987	0.977033	1.28987	0.977033	0	0	
1.1697	1.1399	1.1697	1.1399	0	0	
1.17723	1.14334	1.17723	1.14334	0	0	
0.154532	1.39869	0.154532	1.39869	0	0	
1.49854	0.492762	1.49854	0.492762	0	0	
1.07318	1.33653	1.07318	1.33653	0	0	
0.545656	0.321738	0.545656	0.321738	0	0	
1.22295	1.22393	1.22295	1.22393	0	0	
0.803386	1.49886	0.803386	1.49886	0	0	
0.909176	1.5201	0.909176	1.5201	0	0	
1.48543	1.08363	1.48543	1.08363	0	0	
0.736809	1.62509	0.736809	1.62509	0	0	
