#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0399441
firstFrontCount	20
frontCount	8
avgEvalTime	8.1488e-05
#end
Var1	Var2	Obj1	Obj2	
0.350252	0.48558	1.43386	42.0001	
3.96649	1.47321	71.6136	13.5064	
0.97244	0.925855	7.21139	32.8199	
0.919836	3.92035	64.8611	17.8134	
2.6149	3.84349	86.4405	7.02623	
2.11801	4.01953	82.5702	9.26719	
4.68345	2.4399	111.551	6.65429	
1.82238	2.0995	30.9159	18.5102	
1.94746	3.3152	59.1327	12.1566	
4.84068	3.75398	150.098	1.57796	
2.96598	4.89089	130.871	4.14914	
2.77243	3.77778	87.8321	6.45587	
1.3477	4.25182	79.577	13.899	
3.04925	2.49059	62.0039	10.1025	
2.19718	0.94326	22.8693	24.313	
4.36304	0.46496	77.0091	20.9723	
3.80535	0.0236332	57.9251	26.1914	
0.386008	0.64383	2.25408	40.2651	
4.69024	3.84694	147.189	1.4255	
2.73356	3.993	93.6656	6.15081	
2.82257	4.51039	113.242	4.98094	
4.21784	4.16861	140.67	1.30298	
0.993917	3.23382	45.7819	19.1681	
0.367509	4.47964	80.8088	21.7308	
3.48536	1.00611	52.6398	18.2453	
3.15118	0.0947075	39.7556	27.48	
4.04275	0.0835294	65.4034	25.088	
4.23059	0.801129	74.1589	18.2225	
3.56284	1.85937	64.6043	11.929	
2.84703	4.77591	123.659	4.68549	
3.12309	0.313806	39.4086	25.4832	
1.029	0.359912	4.75355	37.2992	
0.0915151	2.69458	29.0766	29.4082	
4.50637	4.12412	149.263	1.01084	
2.18424	0.482411	20.0144	28.3371	
2.03406	1.921	31.3106	18.277	
3.21971	2.81645	73.1956	7.93734	
0.97214	3.08641	41.8838	19.8855	
1.61547	4.36656	86.7064	11.8563	
3.78525	3.76029	113.872	3.01248	
2.7031	2.69557	58.2914	10.5862	
0.391603	1.72636	12.5347	31.954	
3.4682	1.37345	55.659	15.4983	
0.716925	3.08049	40.0136	22.0292	
2.73861	0.491871	30.9678	25.4371	
3.44647	1.55578	57.1945	14.2761	
4.57427	3.89755	144.459	1.39665	
2.68903	2.01121	45.1034	14.2734	
4.02699	0.844021	67.7161	18.2189	
3.71253	1.42789	63.2869	14.4176	



#Generation 2 / 100
currentGen	2
evaluateCount	100
totalTime	1.07956
firstFrontCount	36
frontCount	2
avgEvalTime	1.3808e-05
#end
Var1	Var2	Obj1	Obj2	
0.350252	0.48558	1.43386	42.0001	
0.97244	0.925855	7.21139	32.8199	
2.6149	3.84349	86.4405	7.02623	
1.82238	2.0995	30.9159	18.5102	
2.77243	3.77778	87.8321	6.45587	
3.04925	2.49059	62.0039	10.1025	
2.19718	0.94326	22.8693	24.313	
0.386008	0.64383	2.25408	40.2651	
2.73356	3.993	93.6656	6.15081	
4.21784	4.16861	140.67	1.30298	
1.029	0.359912	4.75355	37.2992	
4.50637	4.12412	149.263	1.01084	
2.18424	0.482411	20.0144	28.3371	
2.03406	1.921	31.3106	18.277	
3.21971	2.81645	73.1956	7.93734	
3.78525	3.76029	113.872	3.01248	
2.7031	2.69557	58.2914	10.5862	
0.391603	1.72636	12.5347	31.954	
2.68903	2.01121	45.1034	14.2734	
2.40579	2.73877	53.1549	11.843	
3.03708	2.72434	66.5834	9.03171	
2.4026	1.13861	28.2756	21.6568	
4.01319	4.23548	136.18	1.55829	
4.10289	4.1169	135.13	1.58467	
0.803757	0.951305	6.20402	34.0004	
3.74323	3.1039	94.5836	5.17469	
2.15884	2.25163	38.9218	15.6257	
0.295185	0.671788	2.15374	40.8687	
3.47785	3.74162	104.38	3.90048	
0.116299	0.422844	0.769289	44.8009	
0	0	0	50	
3.42208	3.62316	99.3516	4.38553	
3.82184	3.14166	97.9061	4.84148	
3.2767	3.73599	98.7775	4.56749	
0.369342	1.89609	14.9264	31.0772	
3.48755	4.36784	124.964	2.68713	
0.579309	0.241449	1.57558	42.1863	
4.57427	3.89755	144.459	1.39665	
0	1.31972	6.96666	38.5445	
