#NSGA2
popsize 50
maxGen 200
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	0.0298985
firstFrontCount	22
frontCount	5
avgEvalTime	1.115e-05
#end
Var1	Var2	Obj1	Obj2	
3.18004	4.81195	133.07	3.3476	
4.75842	1.14351	95.8007	14.9309	
4.12616	3.35297	113.07	3.47632	
0.125843	0.554176	1.29179	43.5228	
2.332	2.5213	47.1806	13.2622	
3.96695	2.15734	81.5633	9.1479	
2.94194	1.02096	38.7895	20.0684	
3.69119	4.7088	143.191	1.79778	
4.48396	2.65221	108.56	5.77843	
2.39168	2.06474	39.9333	15.419	
3.04238	2.14107	55.3611	12.0057	
0.460423	3.32463	45.0607	23.4146	
1.8291	0.165082	13.4915	33.431	
3.61882	1.04752	56.7727	17.5297	
2.80722	0.983229	35.3889	20.9427	
1.40193	2.94044	42.4465	17.1879	
1.81108	0.678443	14.9611	28.8451	
4.86545	0.759401	96.997	18.0008	
0.849056	0.0298468	2.88715	41.9328	
3.02054	2.30526	57.7515	11.1799	
3.77972	0.741264	59.3429	19.6259	
1.54369	1.02063	13.6987	27.7815	
3.60184	2.09408	69.4338	10.3992	
4.39589	3.22055	118.783	3.53138	
2.28548	2.51036	46.1014	13.5669	
4.93614	3.53824	147.538	2.14081	
2.42162	0.39908	24.094	27.8165	
0.585968	4.32665	76.253	19.9371	
4.84898	2.47361	118.525	6.40545	
1.6933	4.48252	91.8412	11.202	
2.53891	4.91651	122.473	6.06395	
0.0146324	0.233448	0.218848	47.5739	
2.47771	1.72477	36.4554	17.0891	
1.12272	1.05581	9.50092	30.59	
4.51443	3.39118	127.521	2.82409	
1.11312	4.9866	104.421	15.108	
0.376113	0.842159	3.40277	38.668	
2.69524	4.68076	116.695	5.41385	
0.959376	0.455615	4.51195	36.9781	
4.45143	3.06577	116.857	4.04217	
4.71117	2.92212	122.936	4.40099	
2.77356	0.629023	32.3532	24.0625	
4.86841	0.999498	98.8018	16.0213	
3.86184	4.97439	158.633	1.29607	
4.34839	1.03687	79.9343	16.131	
2.79995	4.23305	103.034	5.42842	
0.55565	1.84616	14.8682	29.699	
3.63034	0.785165	55.1835	19.6408	
3.02999	0.480526	37.647	24.3066	
3.1132	3.21024	79.9905	6.76327	



#Generation 2 / 200
currentGen	2
evaluateCount	100
totalTime	0.425202
firstFrontCount	38
frontCount	2
avgEvalTime	1.481e-05
#end
Var1	Var2	Obj1	Obj2	
4.12616	3.35297	113.07	3.47632	
0.125843	0.554176	1.29179	43.5228	
2.332	2.5213	47.1806	13.2622	
2.39168	2.06474	39.9333	15.419	
3.04238	2.14107	55.3611	12.0057	
0.849056	0.0298468	2.88715	41.9328	
3.02054	2.30526	57.7515	11.1799	
1.54369	1.02063	13.6987	27.7815	
2.28548	2.51036	46.1014	13.5669	
0.0146324	0.233448	0.218848	47.5739	
1.12272	1.05581	9.50092	30.59	
4.51443	3.39118	127.521	2.82409	
0.376113	0.842159	3.40277	38.668	
0.959376	0.455615	4.51195	36.9781	
3.86184	4.97439	158.633	1.29607	
3.1132	3.21024	79.9905	6.76327	
0.0455199	0	0.00828825	49.5469	
2.66475	1.95281	43.6575	14.7388	
1.16275	1.86	19.2463	24.5841	
3.42682	3.91647	108.327	3.64892	
2.77029	3.92401	92.2895	6.12937	
3.69358	2.48782	79.327	8.0178	
2.69579	2.24872	49.2961	12.8789	
2.24503	1.92843	35.0359	17.0244	
4.19243	4.14976	139.188	1.37508	
0.718983	0	2.06775	43.3271	
1.71443	2.11728	29.6885	19.1051	
0	0.523838	1.09762	45.036	
1.15923	0.757014	7.66753	32.7545	
1.42963	0.89413	11.3733	29.6057	
1.05722	1.16661	9.91479	30.2404	
3.49677	4.10716	116.384	3.05688	
2.65127	3.33465	72.5964	8.28993	
3.51133	2.55644	75.4594	8.18711	
1.68457	1.48238	20.1409	23.3657	
3.8407	3.16963	99.1901	4.69423	
2.59508	2.87359	59.9678	10.3053	
2.78641	2.65915	59.3408	10.3795	
5	3.67504	154.024	1.75552	
0	0.946186	3.58107	41.4334	
3.96695	2.15734	81.5633	9.1479	
1.44221	0.501794	9.32709	32.8917	
2.8967	4.06849	99.7738	5.29159	
2.33139	0.964345	25.4614	23.408	
2.80722	0.983229	35.3889	20.9427	
3.04942	1.97893	52.8605	12.9316	
0	1.14584	5.25181	39.8545	
2.42162	0.39908	24.094	27.8165	
3.60184	2.09408	69.4338	10.3992	
2.90245	1.6267	44.2815	15.7789	



#Generation 3 / 200
currentGen	3
evaluateCount	150
totalTime	0.459659
firstFrontCount	50
frontCount	1
avgEvalTime	1.2944e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
3.86184	4.97439	158.633	1.29607	
4.19243	4.14976	139.188	1.37508	
3.45395	3.10294	86.2321	5.9891	
