iter=0 lin(0.5)=7.500000e-01 lin(0.01)=7.500000e-01 cuad=7.500000e-01 
iter=1 lin(0.5)=3.750000e-01 lin(0.01)=7.500000e-03 cuad=5.625000e-01 
iter=2 lin(0.5)=1.875000e-01 lin(0.01)=7.500000e-05 cuad=3.164062e-01 
iter=3 lin(0.5)=9.375000e-02 lin(0.01)=7.500000e-07 cuad=1.001129e-01 
iter=4 lin(0.5)=4.687500e-02 lin(0.01)=7.500000e-09 cuad=1.002260e-02 
iter=5 lin(0.5)=2.343750e-02 lin(0.01)=7.500000e-11 cuad=1.004524e-04 
iter=6 lin(0.5)=1.171875e-02 lin(0.01)=7.500000e-13 cuad=1.009069e-08 
iter=7 lin(0.5)=5.859375e-03 lin(0.01)=7.500000e-15 cuad=1.018220e-16 
iter=8 lin(0.5)=2.929688e-03 lin(0.01)=7.500000e-17 cuad=1.036772e-32 
iter=9 lin(0.5)=1.464844e-03 lin(0.01)=7.500000e-19 cuad=1.074897e-64 
iter=10 lin(0.5)=7.324219e-04 lin(0.01)=7.500000e-21 cuad=1.155404e-128 
