APARTADO a) 
it=1 sn=1.75000000000000e+000 error=7.50000000000000e-001 
it=2 sn=2.31250000000000e+000 error=5.62500000000000e-001 
it=3 sn=2.73437500000000e+000 error=4.21875000000000e-001 
it=4 sn=3.05078125000000e+000 error=3.16406250000000e-001 
it=5 sn=3.28808593750000e+000 error=2.37304687500000e-001 
it=6 sn=3.46606445312500e+000 error=1.77978515625000e-001 
it=7 sn=3.59954833984375e+000 error=1.33483886718750e-001 
it=8 sn=3.69966125488281e+000 error=1.00112915039062e-001 
it=9 sn=3.77474594116211e+000 error=7.50846862792969e-002 
it=10 sn=3.83105945587158e+000 error=5.63135147094727e-002 
it=11 sn=3.87329459190369e+000 error=4.22351360321045e-002 
it=12 sn=3.90497094392776e+000 error=3.16763520240784e-002 
it=13 sn=3.92872820794582e+000 error=2.37572640180588e-002 
it=14 sn=3.94654615595937e+000 error=1.78179480135441e-002 
it=15 sn=3.95990961696953e+000 error=1.33634610101581e-002 
it=16 sn=3.96993221272714e+000 error=1.00225957576185e-002 
it=17 sn=3.97744915954536e+000 error=7.51694681821391e-003 
it=18 sn=3.98308686965902e+000 error=5.63771011366043e-003 
it=19 sn=3.98731515224426e+000 error=4.22828258524532e-003 
it=20 sn=3.99048636418320e+000 error=3.17121193893399e-003 
it=21 sn=3.99286477313740e+000 error=2.37840895420049e-003 
it=22 sn=3.99464857985305e+000 error=1.78380671565037e-003 
it=23 sn=3.99598643488979e+000 error=1.33785503673778e-003 
it=24 sn=3.99698982616734e+000 error=1.00339127755333e-003 
it=25 sn=3.99774236962550e+000 error=7.52543458165000e-004 
it=26 sn=3.99830677721913e+000 error=5.64407593623528e-004 
it=27 sn=3.99873008291435e+000 error=4.23305695218090e-004 
it=28 sn=3.99904756218576e+000 error=3.17479271413568e-004 
it=29 sn=3.99928567163932e+000 error=2.38109453559954e-004 
it=30 sn=3.99946425372949e+000 error=1.78582090169854e-004 
it=31 sn=3.99959819029712e+000 error=1.33936567627391e-004 
it=32 sn=3.99969864272284e+000 error=1.00452425720654e-004 
it=33 sn=3.99977398204213e+000 error=7.53393192907126e-005 
it=34 sn=3.99983048653160e+000 error=5.65044894678124e-005 
it=35 sn=3.99987286489870e+000 error=4.23783671008593e-005 
it=36 sn=3.99990464867402e+000 error=3.17837753254224e-005 
it=37 sn=3.99992848650552e+000 error=2.38378314945109e-005 
it=38 sn=3.99994636487914e+000 error=1.78783736206611e-005 
it=39 sn=3.99995977365935e+000 error=1.34087802154959e-005 
it=40 sn=3.99996983024452e+000 error=1.00565851615109e-005 
it=41 sn=3.99997737268339e+000 error=7.54243887124417e-006 
it=42 sn=3.99998302951254e+000 error=5.65682915354415e-006 
it=43 sn=3.99998727213440e+000 error=4.24262186493607e-006 
it=44 sn=3.99999045410080e+000 error=3.18196639881307e-006 
it=45 sn=3.99999284057560e+000 error=2.38647479910981e-006 
it=46 sn=3.99999463043170e+000 error=1.78985609933235e-006 
it=47 sn=3.99999597282378e+000 error=1.34239207438824e-006 
it=48 sn=3.99999697961783e+000 error=1.00679405612425e-006 
it=49 sn=3.99999773471337e+000 error=7.55095541649098e-007 
it=50 sn=3.99999830103503e+000 error=5.66321656236823e-007 
it=51 sn=3.99999872577627e+000 error=4.24741242177618e-007 
it=52 sn=3.99999904433220e+000 error=3.18555931855258e-007 
it=53 sn=3.99999928324915e+000 error=2.38916948891443e-007 
it=54 sn=3.99999946243687e+000 error=1.79187711779605e-007 
it=55 sn=3.99999959682765e+000 error=1.34390783834704e-007 
it=56 sn=3.99999969762074e+000 error=1.00793087653983e-007 
it=57 sn=3.99999977321555e+000 error=7.55948157404873e-008 
it=58 sn=3.99999982991166e+000 error=5.66961118053655e-008 
it=59 sn=3.99999987243375e+000 error=4.25220840760687e-008 
it=60 sn=3.99999990432531e+000 error=3.18915631680738e-008 
it=61 sn=3.99999992824398e+000 error=2.39186723760554e-008 
it=62 sn=3.99999994618299e+000 error=1.79390040599969e-008 
it=63 sn=3.99999995963724e+000 error=1.34542528229531e-008 
it=64 sn=3.99999996972793e+000 error=1.00906900613040e-008 
it=65 sn=3.99999997729595e+000 error=7.56801732393342e-009 
it=66 sn=3.99999998297196e+000 error=5.67601299295006e-009 
it=67 sn=3.99999998722897e+000 error=4.25700985573485e-009 
it=68 sn=3.99999999042173e+000 error=3.19275716975653e-009 
it=69 sn=3.99999999281630e+000 error=2.39456809936200e-009 
it=70 sn=3.99999999461222e+000 error=1.79592607452150e-009 
it=71 sn=3.99999999595917e+000 error=1.34694433384652e-009 
it=72 sn=3.99999999696937e+000 error=1.01020836140719e-009 
it=73 sn=3.99999999772703e+000 error=7.57656160033093e-010 
it=74 sn=3.99999999829527e+000 error=5.68242342069425e-010 
it=75 sn=3.99999999872146e+000 error=4.26181756552069e-010 
it=76 sn=3.99999999904109e+000 error=3.19636317414052e-010 
it=77 sn=3.99999999928082e+000 error=2.39727349082841e-010 
it=78 sn=3.99999999946061e+000 error=1.79795289767526e-010 
it=79 sn=3.99999999959546e+000 error=1.34846356303342e-010 
it=80 sn=3.99999999969660e+000 error=1.01135100294414e-010 
it=81 sn=3.99999999977245e+000 error=7.58513252208104e-011 
APARTADO b) 
it=1 xn=1.75000000000000e+000 error=7.50000000000000e-001 
it=2 xn=2.73437500000000e+000 error=9.84375000000000e-001 
it=3 xn=3.59954833984375e+000 error=8.65173339843750e-001 
it=4 xn=3.95990961696953e+000 error=3.60361277125776e-001 
it=5 xn=3.99959819029712e+000 error=3.96885733275916e-002 
it=6 xn=3.99999995963724e+000 error=4.01769340123259e-004 
it=7 xn=4.00000000000000e+000 error=4.03627589129485e-008 
it=8 xn=4.00000000000000e+000 error=4.44089209850063e-016 
